fit_scope,design,scenario,target,signoff_clean,k_sheet,k_bump,r2,mae_mv,rmse_mv,bias_mv,spearman,pearson,label_max_mv,n
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=2,tile_mean,True,498.8097727512404,997.6195455024808,-0.942760553766564,0.24893912891896464,0.29348916177642337,-0.08467197042344812,-0.2258803905314034,-0.2049130019737203,1.1723366513157893,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=2,tile_max,True,396.8477620487379,793.6955240974758,-0.9230050167313864,0.3048235247351143,0.35907769310209314,-0.1024652554949479,-0.1987752047965953,-0.17492704892378524,1.461241157894737,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=5,tile_mean,True,492.0986985000371,2460.4934925001853,-0.9711487666989858,0.2508679135142969,0.2956256620952255,-0.0874708220475964,-0.22583913515802054,-0.20493785308555384,1.1723366513157893,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=5,tile_max,True,391.4384392492795,1957.1921962463975,-0.9515492767826648,0.3072061156860345,0.36173287378757435,-0.10590878606369306,-0.1987230861189755,-0.17493826720387826,1.461241157894737,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=10,tile_mean,True,489.8625854708021,4898.6258547080215,-0.9810039947651346,0.2515316440711893,0.2963637661425329,-0.08844364626898618,-0.22578010920523528,-0.20495245057907024,1.1723366513157893,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=10,tile_max,True,389.6354263216168,3896.354263216168,-0.9614620582037043,0.30803037279908224,0.3626504107009693,-0.10710591084135951,-0.1986461639742957,-0.17494716696903018,1.461241157894737,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=50,tile_mean,True,488.0724922182745,24403.624610913725,-0.9890453291982664,0.25207005738771077,0.2969646600872,-0.08923783554188333,-0.22580993614946188,-0.20496695691872224,1.1723366513157893,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=50,tile_max,True,388.1917889274934,19409.58944637467,-0.9695515026789656,0.30870154365484176,0.3633974610573267,-0.10808328836344765,-0.19869307078415346,-0.1749565817814016,1.461241157894737,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=200,tile_mean,True,487.7366448097191,97547.32896194383,-0.9905694433736669,0.252171788128737,0.2970784134972899,-0.0893884029757214,-0.22580679647112223,-0.20496998430461547,1.1723366513157893,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=200,tile_max,True,387.9209149164114,77584.18298328228,-0.971084844967141,0.3088283544949807,0.3635388902824794,-0.1082685928730708,-0.1986936987200284,-0.1749585955870368,1.461241157894737,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=1000,tile_mean,True,487.647071872495,487647.071872495,-0.99097677118097,0.2521989591567063,0.29710880733995576,-0.0894286451005909,-0.2258243786698242,-0.2049708088190544,1.1723366513157893,576
ratio_sweep,orfs_ssd_ctrl_cfg_small,bump_ratio=1000,tile_max,True,387.8486693915009,387848.6693915009,-0.9714946447487289,0.30886222389472934,0.36357667922283615,-0.10831811953627268,-0.19871799983838853,-0.17495914648539923,1.461241157894737,576
ratio_sweep,orfs_ssd_ctrl_cfg_run_01_p12,bump_ratio=0.1,tile_mean,False,718.6849630041959,71.8684963004196,0.18913426133082611,0.0740407205541027,0.08856680671121338,-0.014894678084512702,0.5801656748415492,0.6197051961597692,0.5025263157894738,576
ratio_sweep,orfs_ssd_ctrl_cfg_run_01_p12,bump_ratio=0.1,tile_max,False,673.9794443067794,67.39794443067795,0.11333524969438935,0.07613016379517065,0.09175262764467178,-0.017483145076125275,0.583964758988943,0.6220354585309567,0.5187368421052633,576
ratio_sweep,orfs_ssd_ctrl_cfg_run_01_p12,bump_ratio=0.5,tile_mean,False,611.737243174234,305.868621587117,-0.035830878239626385,0.08244392411571638,0.1001015812172945,-0.026047072759789746,0.5811604522913365,0.6212703001721508,0.5025263157894738,576
ratio_sweep,orfs_ssd_ctrl_cfg_run_01_p12,bump_ratio=0.5,tile_max,False,574.2995108335517,287.14975541677586,-0.16928619447586835,0.08616030203692408,0.10536568623038378,-0.029680748568137308,0.584808177361782,0.6234975731331387,0.5187368421052633,576
ratio_sweep,orfs_ssd_ctrl_cfg_run_01_p12,bump_ratio=1,tile_mean,False,598.8840085823778,598.8840085823778,-0.07725692226384706,0.08391563192252438,0.10208364247042481,-0.027954245711986646,0.5814017997934359,0.6215319214431474,0.5025263157894738,576
ratio_sweep,orfs_ssd_ctrl_cfg_run_01_p12,bump_ratio=1,tile_max,False,562.3266764068222,562.3266764068222,-0.22057958096698194,0.08786923285760095,0.10765193466421193,-0.03175942475862355,0.5850284275157285,0.6237432165356463,0.5187368421052633,576
ratio_sweep,orfs_ssd_ctrl_cfg_run_01_p12,bump_ratio=2,tile_mean,False,592.5097022708899,1185.0194045417797,-0.09944686444110351,0.08469563744068939,0.1031296713120951,-0.02896344394235797,0.5814311558379868,0.6216724078230721,0.5025263157894738,576
ratio_sweep,orfs_ssd_ctrl_cfg_run_01_p12,bump_ratio=2,tile_max,False,556.3898224216754,1112.7796448433508,-0.24799151261142072,0.08876505111669875,0.10885405323389039,-0.03285871285259342,0.5850299345730898,0.6238754322888445,0.5187368421052633,576
ratio_sweep,orfs_ssd_ctrl_cfg_run_01_p12,bump_ratio=5,tile_mean,False,588.7022738103259,2943.5113690516296,-0.11326172965814685,0.08518253394432977,0.10377557560378507,-0.029587768421438787,0.58159630321161,0.6217606889591397,0.5025263157894738,576
